campaign_position,trial_id,family,scenario_id,seed,condition,attempt_status,infrastructure_failure_reason,raw_storage_disposition,block_id,block_is_primary_complete
191,E3-C-01__P0_F0__S658212,C,E3-C-01,658212,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S658212,true
192,E3-A-01__P0_F0__S934882,A,E3-A-01,934882,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S934882,true
193,E3-B-01__P1_F1__S959517,B,E3-B-01,959517,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S959517,true
194,E3-C-01__P0_F0__S934882,C,E3-C-01,934882,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S934882,true
195,E3-A-01__P0_F1__S934882,A,E3-A-01,934882,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S934882,true
196,E3-B-02__P0_F0__S899696,B,E3-B-02,899696,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S899696,true
197,E3-A-02__P0_F1__S934882,A,E3-A-02,934882,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S934882,false
198,E3-B-02__P0_F0__S709169,B,E3-B-02,709169,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S709169,true
199,E3-C-01__P0_F1__S876320,C,E3-C-01,876320,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S876320,true
200,E3-B-02__P1_F1__S279520,B,E3-B-02,279520,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S279520,true
201,E3-C-02__P0_F1__S959517,C,E3-C-02,959517,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S959517,true
202,E3-C-02__P1_F0__S261093,C,E3-C-02,261093,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S261093,true
203,E3-A-01__P0_F0__S899696,A,E3-A-01,899696,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S899696,true
204,E3-C-02__P1_F0__S709169,C,E3-C-02,709169,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S709169,true
205,E3-B-02__P1_F0__S899696,B,E3-B-02,899696,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S899696,true
206,E3-A-01__P0_F1__S876320,A,E3-A-01,876320,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S876320,true
207,E3-C-01__P1_F1__S591774,C,E3-C-01,591774,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S591774,true
208,E3-B-01__P1_F0__S702055,B,E3-B-01,702055,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S702055,true
209,E3-C-01__P1_F1__S959517,C,E3-C-01,959517,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S959517,true
210,E3-A-02__P0_F0__S934882,A,E3-A-02,934882,P0_F0,infrastructure_failure,RuntimeError: stage deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-02__S934882,false
211,E3-C-02__P0_F1__S876320,C,E3-C-02,876320,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S876320,true
212,E3-B-01__P1_F1__S730940,B,E3-B-01,730940,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S730940,true
213,E3-A-01__P0_F1__S730940,A,E3-A-01,730940,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S730940,true
214,E3-A-02__P0_F1__S881128,A,E3-A-02,881128,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S881128,true
215,E3-C-02__P1_F0__S591774,C,E3-C-02,591774,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S591774,true
216,E3-C-02__P1_F0__S876320,C,E3-C-02,876320,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S876320,true
217,E3-A-01__P1_F0__S926184,A,E3-A-01,926184,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S926184,true
218,E3-A-02__P1_F0__S881128,A,E3-A-02,881128,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S881128,true
219,E3-C-01__P1_F0__S658212,C,E3-C-01,658212,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S658212,true
220,E3-A-01__P0_F1__S861723,A,E3-A-01,861723,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S861723,true
221,E3-B-01__P0_F1__S876320,B,E3-B-01,876320,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S876320,true
222,E3-B-02__P0_F0__S658212,B,E3-B-02,658212,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S658212,true
223,E3-B-01__P1_F1__S279520,B,E3-B-01,279520,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S279520,false
224,E3-C-01__P0_F1__S702055,C,E3-C-01,702055,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S702055,true
225,E3-C-02__P0_F0__S279520,C,E3-C-02,279520,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S279520,true
226,E3-B-02__P0_F0__S730940,B,E3-B-02,730940,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S730940,true
227,E3-A-02__P1_F1__S926184,A,E3-A-02,926184,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S926184,true
228,E3-B-01__P1_F1__S591774,B,E3-B-01,591774,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S591774,true
229,E3-A-01__P0_F0__S261093,A,E3-A-01,261093,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S261093,true
230,E3-A-01__P0_F1__S959517,A,E3-A-01,959517,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S959517,true
231,E3-B-02__P1_F0__S658212,B,E3-B-02,658212,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S658212,true
232,E3-A-02__P1_F0__S730940,A,E3-A-02,730940,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S730940,false
233,E3-B-01__P0_F0__S261093,B,E3-B-01,261093,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S261093,true
234,E3-C-01__P1_F0__S591774,C,E3-C-01,591774,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S591774,true
235,E3-C-01__P0_F0__S279520,C,E3-C-01,279520,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S279520,true
236,E3-A-02__P0_F0__S730940,A,E3-A-02,730940,P0_F0,infrastructure_failure,RuntimeError: stage deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-02__S730940,false
237,E3-A-02__P0_F0__S591774,A,E3-A-02,591774,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S591774,true
238,E3-B-02__P1_F0__S926184,B,E3-B-02,926184,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S926184,true
239,E3-B-02__P0_F1__S709169,B,E3-B-02,709169,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S709169,true
240,E3-A-01__P0_F0__S702055,A,E3-A-01,702055,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S702055,true
241,E3-C-01__P0_F0__S876320,C,E3-C-01,876320,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S876320,true
242,E3-C-02__P0_F1__S881128,C,E3-C-02,881128,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S881128,false
243,E3-C-01__P0_F1__S261093,C,E3-C-01,261093,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S261093,false
244,E3-B-02__P0_F1__S135275,B,E3-B-02,135275,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S135275,true
245,E3-B-01__P0_F0__S861723,B,E3-B-01,861723,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S861723,true
246,E3-B-02__P0_F0__S876320,B,E3-B-02,876320,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S876320,true
247,E3-A-02__P1_F1__S934882,A,E3-A-02,934882,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S934882,false
248,E3-C-01__P0_F0__S881128,C,E3-C-01,881128,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S881128,true
249,E3-C-02__P0_F1__S926184,C,E3-C-02,926184,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S926184,true
250,E3-A-01__P1_F0__S899696,A,E3-A-01,899696,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S899696,true
251,E3-C-02__P1_F0__S926184,C,E3-C-02,926184,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S926184,true
252,E3-C-02__P0_F0__S959517,C,E3-C-02,959517,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S959517,true
253,E3-A-02__P0_F0__S881128,A,E3-A-02,881128,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S881128,true
254,E3-C-02__P0_F0__S876320,C,E3-C-02,876320,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S876320,true
255,E3-A-02__P0_F1__S261093,A,E3-A-02,261093,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S261093,false
256,E3-B-02__P1_F1__S881128,B,E3-B-02,881128,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S881128,true
257,E3-C-01__P1_F1__S876320,C,E3-C-01,876320,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S876320,true
258,E3-C-01__P1_F0__S926184,C,E3-C-01,926184,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S926184,true
259,E3-A-02__P1_F0__S934882,A,E3-A-02,934882,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S934882,false
260,E3-B-01__P0_F1__S702055,B,E3-B-01,702055,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S702055,true
261,E3-B-01__P0_F0__S709169,B,E3-B-01,709169,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S709169,true
262,E3-C-01__P0_F1__S881128,C,E3-C-01,881128,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S881128,true
263,E3-B-01__P0_F1__S658212,B,E3-B-01,658212,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S658212,true
264,E3-A-02__P1_F0__S261093,A,E3-A-02,261093,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S261093,false
265,E3-A-01__P1_F0__S709169,A,E3-A-01,709169,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S709169,true
266,E3-A-02__P1_F1__S730940,A,E3-A-02,730940,P1_F1,infrastructure_failure,RuntimeError: stage deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-02__S730940,false
267,E3-B-01__P0_F1__S899696,B,E3-B-01,899696,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S899696,true
268,E3-A-02__P1_F1__S709169,A,E3-A-02,709169,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S709169,true
269,E3-B-01__P1_F0__S135275,B,E3-B-01,135275,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S135275,true
270,E3-C-01__P1_F1__S861723,C,E3-C-01,861723,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S861723,true
271,E3-A-02__P0_F0__S135275,A,E3-A-02,135275,P0_F0,infrastructure_failure,RuntimeError: stage deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-02__S135275,false
272,E3-C-01__P0_F1__S861723,C,E3-C-01,861723,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S861723,true
273,E3-B-02__P0_F1__S899696,B,E3-B-02,899696,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S899696,true
274,E3-B-02__P1_F0__S261093,B,E3-B-02,261093,P1_F0,infrastructure_failure,RuntimeError: stage deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-B-02__S261093,false
275,E3-A-01__P1_F1__S899696,A,E3-A-01,899696,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S899696,true
276,E3-C-02__P0_F0__S709169,C,E3-C-02,709169,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S709169,true
277,E3-C-01__P0_F1__S899696,C,E3-C-01,899696,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S899696,true
278,E3-B-01__P1_F1__S934882,B,E3-B-01,934882,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S934882,true
279,E3-B-01__P1_F0__S709169,B,E3-B-01,709169,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S709169,true
280,E3-B-01__P1_F1__S881128,B,E3-B-01,881128,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S881128,true
281,E3-B-02__P0_F0__S959517,B,E3-B-02,959517,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S959517,false
282,E3-C-02__P1_F1__S934882,C,E3-C-02,934882,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S934882,true
283,E3-C-01__P0_F0__S135275,C,E3-C-01,135275,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S135275,true
284,E3-C-02__P0_F1__S135275,C,E3-C-02,135275,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S135275,true
285,E3-A-02__P1_F0__S279520,A,E3-A-02,279520,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S279520,true
286,E3-A-01__P0_F0__S881128,A,E3-A-01,881128,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S881128,true
287,E3-C-02__P0_F1__S861723,C,E3-C-02,861723,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S861723,true
288,E3-B-02__P1_F0__S959517,B,E3-B-02,959517,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S959517,false
289,E3-C-01__P0_F0__S926184,C,E3-C-01,926184,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S926184,true
290,E3-B-02__P1_F0__S730940,B,E3-B-02,730940,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S730940,true
291,E3-C-02__P0_F0__S926184,C,E3-C-02,926184,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S926184,true
292,E3-B-01__P0_F1__S709169,B,E3-B-01,709169,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S709169,true
293,E3-B-02__P1_F0__S279520,B,E3-B-02,279520,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S279520,true
294,E3-C-01__P1_F0__S881128,C,E3-C-01,881128,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S881128,true
295,E3-B-01__P1_F1__S899696,B,E3-B-01,899696,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S899696,true
296,E3-A-01__P1_F0__S959517,A,E3-A-01,959517,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S959517,true
297,E3-B-02__P0_F1__S926184,B,E3-B-02,926184,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S926184,true
298,E3-B-01__P0_F1__S881128,B,E3-B-01,881128,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S881128,true
299,E3-B-02__P0_F1__S591774,B,E3-B-02,591774,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S591774,false
300,E3-A-02__P1_F1__S861723,A,E3-A-02,861723,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S861723,true
301,E3-A-02__P1_F1__S658212,A,E3-A-02,658212,P1_F1,infrastructure_failure,RuntimeError: interaction deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-02__S658212,false
302,E3-B-01__P1_F0__S730940,B,E3-B-01,730940,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S730940,true
303,E3-A-02__P0_F1__S876320,A,E3-A-02,876320,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S876320,true
304,E3-B-02__P0_F0__S702055,B,E3-B-02,702055,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S702055,true
305,E3-A-01__P0_F0__S591774,A,E3-A-01,591774,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S591774,true
306,E3-C-02__P1_F1__S861723,C,E3-C-02,861723,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S861723,true
307,E3-A-02__P1_F0__S658212,A,E3-A-02,658212,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S658212,false
308,E3-B-02__P0_F0__S926184,B,E3-B-02,926184,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S926184,true
309,E3-B-01__P0_F1__S959517,B,E3-B-01,959517,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S959517,true
310,E3-B-01__P1_F0__S658212,B,E3-B-01,658212,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S658212,true
311,E3-B-01__P0_F0__S658212,B,E3-B-01,658212,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S658212,true
312,E3-C-02__P1_F1__S709169,C,E3-C-02,709169,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S709169,true
313,E3-A-01__P0_F0__S658212,A,E3-A-01,658212,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S658212,true
314,E3-B-01__P0_F0__S730940,B,E3-B-01,730940,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S730940,true
315,E3-A-02__P1_F1__S279520,A,E3-A-02,279520,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S279520,true
316,E3-A-02__P1_F1__S881128,A,E3-A-02,881128,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S881128,true
317,E3-C-02__P0_F0__S658212,C,E3-C-02,658212,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S658212,true
318,E3-B-02__P0_F0__S261093,B,E3-B-02,261093,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S261093,false
319,E3-C-02__P0_F0__S702055,C,E3-C-02,702055,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S702055,true
320,E3-C-02__P1_F1__S959517,C,E3-C-02,959517,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S959517,true
321,E3-A-01__P1_F1__S861723,A,E3-A-01,861723,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S861723,true
322,E3-A-01__P0_F0__S959517,A,E3-A-01,959517,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S959517,true
323,E3-B-02__P1_F1__S934882,B,E3-B-02,934882,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S934882,true
324,E3-C-01__P1_F0__S261093,C,E3-C-01,261093,P1_F0,infrastructure_failure,RuntimeError: interaction deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-C-01__S261093,false
325,E3-A-01__P1_F1__S730940,A,E3-A-01,730940,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S730940,true
326,E3-A-01__P1_F0__S876320,A,E3-A-01,876320,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S876320,true
327,E3-C-02__P0_F0__S899696,C,E3-C-02,899696,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S899696,true
328,E3-A-02__P0_F0__S899696,A,E3-A-02,899696,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S899696,true
329,E3-B-01__P0_F0__S881128,B,E3-B-01,881128,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S881128,true
330,E3-C-02__P0_F0__S591774,C,E3-C-02,591774,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S591774,true
331,E3-C-02__P0_F0__S135275,C,E3-C-02,135275,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S135275,true
332,E3-C-01__P0_F0__S861723,C,E3-C-01,861723,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S861723,true
333,E3-B-01__P1_F1__S709169,B,E3-B-01,709169,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S709169,true
334,E3-B-01__P0_F0__S876320,B,E3-B-01,876320,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S876320,true
335,E3-B-02__P0_F1__S730940,B,E3-B-02,730940,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S730940,true
336,E3-A-02__P0_F0__S926184,A,E3-A-02,926184,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S926184,true
337,E3-A-01__P1_F0__S934882,A,E3-A-01,934882,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S934882,true
338,E3-B-02__P1_F1__S899696,B,E3-B-02,899696,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S899696,true
339,E3-B-01__P0_F0__S702055,B,E3-B-01,702055,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S702055,true
340,E3-C-02__P0_F1__S899696,C,E3-C-02,899696,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S899696,true
341,E3-B-02__P1_F1__S709169,B,E3-B-02,709169,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S709169,true
342,E3-A-01__P1_F1__S709169,A,E3-A-01,709169,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S709169,true
343,E3-A-02__P0_F1__S702055,A,E3-A-02,702055,P0_F1,infrastructure_failure,RuntimeError: stage deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-02__S702055,false
344,E3-A-01__P0_F1__S591774,A,E3-A-01,591774,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S591774,true
345,E3-B-02__P0_F0__S881128,B,E3-B-02,881128,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S881128,true
346,E3-B-01__P0_F1__S926184,B,E3-B-01,926184,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S926184,true
347,E3-B-02__P1_F0__S934882,B,E3-B-02,934882,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S934882,true
348,E3-B-01__P1_F1__S861723,B,E3-B-01,861723,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S861723,true
349,E3-B-01__P1_F1__S135275,B,E3-B-01,135275,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S135275,true
350,E3-B-02__P1_F0__S881128,B,E3-B-02,881128,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S881128,true
351,E3-B-02__P0_F1__S279520,B,E3-B-02,279520,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S279520,true
352,E3-C-01__P1_F1__S926184,C,E3-C-01,926184,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S926184,true
353,E3-A-02__P0_F0__S261093,A,E3-A-02,261093,P0_F0,infrastructure_failure,RuntimeError: stage deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-02__S261093,false
354,E3-C-02__P0_F1__S261093,C,E3-C-02,261093,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S261093,true
355,E3-C-02__P0_F0__S861723,C,E3-C-02,861723,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S861723,true
356,E3-A-02__P1_F1__S261093,A,E3-A-02,261093,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S261093,false
357,E3-B-01__P1_F1__S702055,B,E3-B-01,702055,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S702055,true
358,E3-B-01__P0_F0__S135275,B,E3-B-01,135275,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S135275,true
359,E3-B-01__P1_F1__S261093,B,E3-B-01,261093,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S261093,true
360,E3-B-01__P0_F0__S926184,B,E3-B-01,926184,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S926184,true
